年度,学科／研究科,研究室,学籍番号,賞,氏名,要旨,題目
H21,情報科学科,石田健研,,,,,CIP法を利用した2次元電磁波伝搬シミュレータの作成
H21,情報科学科,宮崎研,,,,,公開鍵暗号を用いた記名式アンケートの実現
H21,情報科学科,安部研,,,,,CO2排出量削減を考慮した配送計画システムの開発
H21,情報科学科,安部研,,,,,九州産業大学情報科学部における時間割作成支援システムの開発
H21,情報科学科,安部研,,,,,家庭部門におけるCO2排出量削減対策の線形計画モデルによる分析
H21,情報科学科,宮崎研,,,,,平食品の国産筍パックの現状と今後の売れ行きの予測
H21,情報科学科,一ノ瀬研,,,,,FaceFitによる平均顔画像の作成と顔画像のパーツ別の座標点の平均点のしくみ
H21,情報科学科,仲研,,,,,オンラインテストの改良
H21,情報科学科,廣田研,,,,,システム開発演習教材の開発―書店システムの実装―
H21,情報科学科,成研,,,,,Webビーコンによるアクセス情報収集とアクセス傾向解析
H21,情報科学科,古井研,,,,,カレンダー表示による告知確認システムの開発
H21,情報科学科,宮崎研,,,,,公開鍵暗号に必要な素数を求めるプログラムの作成
H21,情報科学科,朝廣研,,,,,音楽ソフトウェアで利用可能な音楽ファイルと機能に関する調査
H21,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおける携帯電話用Web版管理ソフトウェアの開発
H21,情報科学科,廣田研,,,,,システム開発演習における要求獲得体験教材の開発
H21,情報科学科,仲研,,,,,脳の情報システムの学習用webページの試作－パーセプトロン
H21,情報科学科,石田健研,,,,,衛星通信における降雨減衰予測のためのAMeDASデータを使用した九州各地の降雨強度分布の分析
H21,情報科学科,古井研,,,,,情報科学部における学生向けの告知の効果に関する検討
H21,情報科学科,アプドゥハン研,,,,,セマンティックグリッドのためのGWDLを用いたワークフロー・シミュレーション
H21,情報科学科,合志研,,,,,安全運転教育を目的とした視野角測定システムの開発
H21,情報科学科,稲永研,,,,,消費電力削減とコミュニケーション促進を目的としたスケジュール共有システムの開発
H21,情報科学科,花野井研,,,,,C言語を用いたゲームの作成～「よけろ!!!」のプログラム開発～
H21,情報科学科,花野井研,,,,,C言語を用いたゲームの作成～「よけろ!!!」のゲーム構成・画像製作～
H21,情報科学科,成研,,,,,研究室配属シミュレーション機能の設計と開発
H21,情報科学科,稲永研,,,,,テニスコート予約支援Webシステムの開発
H21,情報科学科,宮崎研,,,,,米国標準共通鍵暗号AESの調査
H21,情報科学科,古井研,,,,,2Dマップを用いた消費電力閲覧支援システム
H21,情報科学科,廣田研,,,,,TOC思考プロセス「論理の規定」に基づくチェックリストの作成と実証
H21,情報科学科,仲研,,,,,人口推計プログラムの試作
H21,情報科学科,古井研,,,,,グループウェア開発の課題8項目にもとづくK'sLifeの評価
H21,情報科学科,稲永研,,,,,店舗レジスターにおけるレシート情報の電子化および提供機能の提案とそのプロトタイプ実装
H21,情報科学科,石田健研,,,,,Javaによる数学教育支援ソフトウェアの作成---初等関数の微分，積分に関する問題---
H21,情報科学科,澤田研,,,,,FPGAを用いたシステムLSI設計教育課題の検討
H21,情報科学科,稲永研,,,,,操作量の低減を目指した高齢者向け駅設置時刻表検索システムの開発
H21,情報科学科,石田健研,,,,,任意形状導体柱による散乱の数値解析
H21,情報科学科,宮崎研,,,,,公開鍵暗号Paillier暗号とその応用について
H21,情報科学科,成研,,,,,ソフトウェア演習教育支援のためのWikiのプラグイン開発
H21,情報科学科,安武研,,,,,Androidプラットフォームにおけるインターネットゲートウェイの開発
H21,情報科学科,松本研,,,,,オブジェクト指向と比較したSOAの優位性の実証
H21,情報科学科,合志研,,,,,携帯版質問文型ＫＭ式安全運転助言検査の開発
H21,情報科学科,米元研,,,,,構造モデルを用いた手書きスケッチ作成支援ツールの開発
H21,情報科学科,一ノ瀬研,,,,,シーソーの原理を用いたノイズキャンセリングヘッドホンの実現可能性
H21,情報科学科,古井研,,,,,らくがきを共有できるWeb告知システム
H21,情報科学科,米元研,,,,,関節点を指定可能な手書きスケッチアニメーションツール
H21,情報科学科,花野井研,,,,,道路交通標識認識の研究～点対称画像中心点検出方式の開発～
H21,情報科学科,花野井研,,,,,C言語を用いたゲームの作成～「よけろ!!!」のゲーム構成の設計と評価～
H21,情報科学科,合志研,,,,,安全運転管理教育システムASSISTの開発のための教育カリキュラムの構築
H21,情報科学科,成研,,,,,検索結果分析による検索対象知名度調査
H21,情報科学科,一ノ瀬研,,,,,発話内容の違いが遅延聴覚フィードバックによる発話時間の増加に及ぼす影響
H21,情報科学科,澤田研,,,,,FPGAロボットにおけるモータ回転数自動調節システムの実装
H21,情報科学科,澤田研,,,,,PICタイマーを用いた割り込み処理教育課題の検討
H21,情報科学科,安武研,,,,,MindStormsによるライントレースプログラムの設計と実装
H21,情報科学科,安武研,,,,,Bluetooth通信における高信頼マルチキャストの実現
H21,情報科学科,一ノ瀬研,,,,,Wii周辺機器のPCによる制御とその応用
H21,情報科学科,合志研,,,,,一時停止教育用ドライビングシミュレータにおける教育の自動化
H21,情報科学科,合志研,,,,,ペン入力デバイスを用いた仮想物体への物理法則の適用とその応用に関する研究
H21,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけ るWeb版解説機能付き再生ソフトウエアの 開発
H21,情報科学科,合志研,,,,,移動効率体験型ドライビングシミュレータにおける走行環境の改善
H21,情報科学科,稲永研,,,,,乗換案内機能を用いた移動スケジュール自動作成Webアプリケーションの開発
H21,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いた画像内の直方体認識
H21,情報科学科,米元研,,,,,OpenGLによる仮想生物作成ツールの開発
H21,情報科学科,澤田研,,,,,KERNEL用I/Oボードを用いた実験課題の検討
H21,情報科学科,成研,,,,,複数サイトサポート可能なWikiシステムの開発
H21,情報科学科,合志研,,,,,教育用ASSIST車載ユニットの開発と教育カリキュラムの構築
H21,情報科学科,松本研,,,,,例外状況を考慮した講義スケジュール作成システム
H21,情報科学科,成研,,,,,Webチケット予約システムの試作に基づく開発技術の実証的比較研究
H21,情報科学科,下川研,,,,,卒業研究支援のためのiGoogleの活用及びガジェット開発
H21,情報科学科,下川研,,,,,サーバ増殖システムの認証機能の改良
H21,情報科学科,花野井研,,,,,道路交通標識認識の研究～線対称画像位置正規化の研究～
H21,情報科学科,澤田研,,,,,KERNEL用I/Oボードのための通信モジュールの開発
H21,情報科学科,宮崎研,,,,,統計量を利用したパッチワークによる電子透かし
H21,情報科学科,古井研,,,,,学習を楽しくするWebすごろくの開発
H21,情報科学科,下川研,,,,,組込みデバイスを用いたソフトウェア設計教材の開発
H21,情報科学科,下川研,,,,,ネットワーク制御用APIを用いた802.1xの管理支援に関する研究
H21,情報科学科,下川研,,,,,自動バックアップシステムの利便性の向上
H21,情報科学科,古井研,,,,,消費電力をタスクトレイで身近に感じさせるシステム
H21,情報科学科,仲研,,,,,脳の情報システムの学習用Webページの試作－アソシアトロン
H21,情報科学科,下川研,,,,,VLAN運用管理を支援するシステムの開発
H21,情報科学科,稲永研,,,,,食物アレルギー疾患者向けメニュー提供システムの開発
H21,情報科学科,石田健研,,,,,FDTD法を利用した2次元TM電磁波伝搬シミュレータの改良---BerengerのPMLの適用---
H21,情報科学科,安武研,,,,,OpenCVによるテンプレートマッチングを用いた動画再生制御のための視線認識
H21,情報科学科,一ノ瀬研,,,,,Wiiリモコンを用いたヘッドトラッキングによる音場再生
H21,情報科学科,安部研,,,,,物流分野におけるモーダルシフト設計支援ツールの作成
H21,情報科学科,下川研,,,,,規模適応性に優れたWebサーバシステムの構築
H21,情報科学科,下川研,,,,,研究室メンバーのネットワーク接続時間集計閲覧システムの開発
H21,情報科学科,稲永研,,,,,九産大就職活動支援Webシステムの開発
H21,情報科学科,古井研,,,,,プレゼンテーションの効果的な指導方法の検討
H21,情報科学科,澤田研,,,,,制御方式選択機能付き硬貨返却教材の開発
H21,情報科学科,安部研,,,,,階層分析法によるCO2排出量削減対策案の検討
H21,情報科学科,米元研,,,,,動的に表示結果が変わるマーカー読み取りシステムに関する研究
H21,情報科学科,米元研,,,,,エージェントの障害物回避タスクへの遺伝的アルゴリズムの適用
H21,情報科学科,成研,,,,,テキストマイニングを用いたクチコミデータの分析
H21,情報科学科,朝廣研,,,,,各種ソートアルゴリズムに対する実験的評価
H21,情報科学科,合志研,,,,,動作型ＫＭ式安全運転助言検査における印刷機能の追加及び結果表示の改良
H21,情報科学科,松本研,,,,,レンタル事例試作を通じたSOA技術と従来技術の優劣の比較
H21,情報科学科,宮崎研,,,,,Excelのマクロ機能を使ったコンピュータシミュレーション
H21,情報科学科,安部研,,,,,エコドライブナビゲーションシステムの検討
H21,情報科学科,成研,,,,,OpenIDを用いたWebサービス統合のための共通認証基盤の構築
H21,情報科学科,朝廣研,,,,,石取りゲームに対するランダムAIに関する実験
H21,情報科学科,米元研,,,,,似顔絵作成支援システムの開発
H21,情報科学科,石田健研,,,,,Javaによる数学教育支援ソフトウェアの作成---線形代数の行列に関する問題---
H21,情報科学科,一ノ瀬研,,,,,要素自動分割プログラムを用いた有限要素法による声道の伝達関数の算出
H21,情報科学科,合志研,,,,,車いす使用者の為の道路・通路情報収集用車載システムの開発
H22,情報科学科,合志研,,,,,安全運転管理教育システムASSISTの解析用ソフトウェアによる不安全箇所の解析
H22,情報科学科,合志研,,,,,プログラミング教育における初学者のための教材作成
H22,情報科学科,アプドゥハン研,,,,,Cloud Analystを利用したクラウドコンピューティングシミュレーションにおけるオントロジー抽出に関する考察
H22,情報科学科,アプドゥハン研,,,,,Gridアプリケーションポータルのフレームワークの設計と試作
H22,情報科学科,澤田研,,,,,倒立振子FPGAロボット試作のためのデータ転送機構の検討
H22,情報科学科,朝廣研,,,,,情報科学部棟と図書館のバーチャルツアー製作
H22,情報科学科,田中研,,,,,中距離無線通信における最大通信距離と高さの関連性
H22,情報科学科,合志研,,,,,Android版動作型KM式安全運転助言検査の開発
H22,情報科学科,アプドゥハン研,,,,,グリッド・アプリケーションワークフローの設計とシミュレーション
H22,情報科学科,下川研,,,,,IPアドレス貸出しログ情報を利用した出欠状況確認支援システムの開発
H22,情報科学科,宮崎研,,,,,在庫管理の数学モデルとExcelによるコンピュータシミュレーション
H22,情報科学科,石田健研,,,,,CIP法を利用した2次元電磁波伝搬シミュレータの作成---誘電体による散乱の計算---
H22,情報科学科,田中研,,,,,近距離無線通信における最大通信距離と高さの関連性
H22,情報科学科,石田健研,,,,,任意形状誘電体柱による散乱波の数値解析
H22,情報科学科,仲研,,,,,プレゼンテーション上達支援システムの試作
H22,情報科学科,仲研,,,,,オンラインテストへのリアルタイム集計機能の追加
H22,情報科学科,朝廣研,,,,,ソーシャルネットワーキングサービスの機能に関する比較
H22,情報科学科,下川研,,,,,様々な指標を考慮したWebサーバ処理能力向上システムの構築
H22,情報科学科,合志研,,,,,ドライビングシミュレータ開発者のための教材作成
H22,情報科学科,宮崎研,,,,,最高桁の数字に関する法則　ベンフォードの法則によるデータ解析
H22,情報科学科,田中研,,,,,学生証を利用した電子マネーシステムのための情報管理端末の開発
H22,情報科学科,田中研,,,,,FPGAによる動的部分再構成制御回路の設計と実装
H22,情報科学科,合志研,,,,,移動効率体験型ドライビングシミュレータにおける衝突や違反に対する処理の開発
H22,情報科学科,米元研,,,,,OpenGLを用いたポップアップカード製作支援ツール
H22,情報科学科,成研,,,,,Pukiwikiにおけるサイト管理機能の実現
H22,情報科学科,古井研,,,,,講義資料と講義記録の閲覧を支援する時間割表示システム
H22,情報科学科,合志研,,,,,一時停止教育用ドライビングシミュレータにおけるリプレイの有用性検証
H22,情報科学科,仲研,,,,,教育現場におけるKNOPPIX/Mathの活用
H22,情報科学科,石田健研,,,,,LaTeXとJavaを用いた数学教育支援ソフトウェアの作成---初等関数の微分積分に関する問題---
H22,情報科学科,古井研,,,,,学生生活を支援するPC常駐型消費電力3Dマップ表示システム
H22,情報科学科,成研,,,,,授業体験WebシステムにおけるYouTube動画の活用及びコミュニケーション機能の実現
H22,情報科学科,朝廣研,,,,,2色限定ソーティングバッファ問題に対するアルゴリズムの考案と性能評価
H22,情報科学科,仲研,,,,,回答し易いオンラインテストへの改良
H22,情報科学科,一ノ瀬研,,,,,複数のWiiリモコンによるモーションキャプチャ
H22,情報科学科,田中研,,,,,学生証を利用した電子マネーシステムのための情報管理サーバの構築
H22,情報科学科,安武研,,,,,Google SketchUpを用いた３次元案内地図における自動ウォークスルーの作成
H22,情報科学科,下川研,,,,,研究室サーバーへの仮想環境導入の研究
H22,情報科学科,宮崎研,,,,,ISMSを利用した学生用PCのリスクアセスメントとリスク対応
H22,情報科学科,稲永研,,,,,Googleサービスを利用した九産大部活動運営支援システムの構築
H22,情報科学科,宮崎研,,,,,多変量解析を用いたプロ野球新人選手の能力評価
H22,情報科学科,仲研,,,,,WebMathematica入門用Webページの試作
H22,情報科学科,米元研,,,,,油絵風タッチを実現する混色ペイントソフトの開発
H22,情報科学科,一ノ瀬研,,,,,フォースフィードバックデバイス（Novint Falcon）を用いた触覚通信の検討
H22,情報科学科,下川研,,,,,第一期講義記録システムのアクセス解析
H22,情報科学科,成研,,,,,家庭孤立化対策のための総合情報支援システムの設計と開発
H22,情報科学科,下川研,,,,,位置情報を利用したオープンキャンパス来訪者支援システムの開発
H22,情報科学科,古井研,,,,,学生生活支援のための消費電力情報等データベース
H22,情報科学科,石田健研,,,,,Particle Swarm Optimization による最適解探索過程の考察
H22,情報科学科,宮崎研,,,,,公開鍵暗号Paillier暗号による画像認証について
H22,情報科学科,一ノ瀬研,,,,,朗読する文章の種類と朗読速度が遅延聴覚フィードバックの条件下での発話に及ぼす影響
H22,情報科学科,澤田研,,,,,制御方式選択機能付き硬貨返却教材の実装
H22,情報科学科,安部研,,,,,最適化エンジンとデータベースを結合した時間割作成システムの開発
H22,情報科学科,仲研,,,,,CUDAを用いた遺伝的アルゴリズムの計算
H22,情報科学科,一ノ瀬研,,,,,朗読する文章の種類と朗読速度が遅延聴覚フィードバックの条件下での発話に及ぼす影響
H22,情報科学科,下川研,,,,,無線LANアクセスポイント安全性情報通知システムの開発
H22,情報科学科,合志研,,,,,一時停止教育用ドライビングシミュレータにおける走行コースに関する改良
H22,情報科学科,安武研,,,,,2輪倒立振子ロボットによるETロボコン難所の攻略
H22,情報科学科,澤田研,,,,,FPGAとプロセッサを組み合わせたシステム設計教育課題の検証
H22,情報科学科,安武研,,,,,動画共有・配信サービスを集約するための標準データモデルの考察
H22,情報科学科,合志研,,,,,自動車運転時におけるペダル踏み間違いについての原因調査
H22,情報科学科,アプドゥハン研,,,,,セマンティックグリッドにおけるNagiosベースリソースブローカーの試作
H22,情報科学科,石田健研,,,,,電磁波散乱解析に対するOctaveの試用
H22,情報科学科,田中研,,,,,Bluetooth無線通信技術を用いた高輝度LED照明制御プログラムの開発
H22,情報科学科,澤田研,,,,,USBインタフェースボードを用いた硬貨返却教材のためのテスト環境の構築
H22,情報科学科,稲永研,,,,,エンターテインメントコンテンツ利用履歴管理システムの開発
H22,情報科学科,稲永研,,,,,コミュニケーション推進を目的としたコミュニティ機能をもつ簡易投稿システムの開発
H22,情報科学科,成研,,,,,研究室図書資料相互利用支援システムLabOPAC
H22,情報科学科,古井研,,,,,電記ノート：効率的な記憶を支援する携帯電話向け暗記ノート
H22,情報科学科,一ノ瀬研,,,,,頭部伝達関数を用いたヘッドホンによる動的音像定位
H22,情報科学科,安武研,,,,,ソフトウェア設計による組込みシステム構築を学習するための教材開発
H22,情報科学科,米元研,,,,,エッジ特徴を用いたスケッチ画像検索
H22,情報科学科,成研,,,,,安全運転管理教育システムASSISTにおける運転者識別機能の開発
H22,情報科学科,成研,,,,,飲み会運営支援システムPartyMasterの設計と開発
H22,情報科学科,石田健研,,,,,LaTeXとJavaを用いた数学教育支援ソフトウェアの作成---線形代数に関する問題---
H22,情報科学科,安部研,,,,,CO2排出量削減を支援するカーナビゲーション方式
H22,情報科学科,石田健研,,,,,FDTD法を利用した2次元TM電磁波伝搬シミュレータの改良---機能の修正と充実---
H22,情報科学科,稲永研,,,,,ツイッターを利用した外食・中食情報交換支援サービスの構築 ～業者向けインストラクターおよび渉外部～
H22,情報科学科,宮崎研,,,,,暗号領域での検出が可能な画像への電子透かし埋め込み法の検討
H22,情報科学科,仲研,,,,,CUDAによる生化学反応シミュレーションの高速化
H22,情報科学科,下川研,,,,,LANスイッチを用いたアクセス制御システムの開発
H22,情報科学科,安武研,,,,,PTAMMを用いて位置の差別化を計るシステムの調査・検証
H22,情報科学科,稲永研,,,,,Java言語からGo言語へのプログラム変換ルールの作成
H22,情報科学科,合志研,,,,,移動効率体験型ドライビングシミュレータにおけるミラー表示機能の開発
H22,情報科学科,成研,,,,,研究室図書資料の有効利用を目的とする電子書斎の構築
H22,情報科学科,稲永研,,,,,日商簿記検定2級対策支援ソフトウェアの開発
H22,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるWeb版一時停止教育システムの開発
H22,情報科学科,米元研,,,,,実画像からのテクスチャ獲得　―アバターの服の自動生成―
H22,情報科学科,一ノ瀬研,,,,,要素自動分割プログラムを用いた有限要素法による音声合成
H22,情報科学科,朝廣研,,,,,ランダム生成された一次元ネットワークの性質に関する調査
H22,情報科学科,一ノ瀬研,,,,,リアルタイムサウンドマスキングについて
H22,情報科学科,安部研,,,,,ＣＯ２排出量を最小化する配送計画作成方式
H22,情報科学科,稲永研,,,,,ツイッターを利用した外食・中食情報交換支援サービスの構築～オンライン上でのサービス管理部～
H22,情報科学科,米元研,,,,,物理演算ライブラリBox2Dの追加機能に関する研究
H22,情報科学科,合志研,,,,,足型測定器における甲高測定システムの開発
H22,情報科学科,下川研,,,,,携帯電話を用いた面談予約システムの開発
H22,情報科学研究科,田中研,,,,◯,複数の近距離無線通信機能を搭載した 携帯機器に関する研究
H22,情報科学研究科,田中研,,,,◯,低消費電力マイクロコントローラによる組込み機器の省電力化に関する研究
H22,情報科学研究科,田中研,,,,◯,スマートフォンを活用したセンサーネットワーク向け無線システムに関する研究
H23,情報科学科,澤田研,,,,,情報回路実験のための硬貨投入教材の開発
H23,情報科学科,古井研,,,,,省エネルギー活動を促進するための消費電力情報・連絡通知提示インタフェース
H23,情報科学科,石田健研,,,,,CIP法とJavaによる電磁波伝搬シミュレーション－誘電体による散乱の計算－
H23,情報科学科,田中研,,,,,保健室利用証明書発行システム
H23,情報科学科,成研,,,,,グループ活動支援のための時間割管理システム
H23,情報科学科,朝廣研,,,,,スライドパズルの逆順数判定シートとKSUスライドパズルの作成
H23,情報科学科,澤田研,,,,,災害派遣ロボットの為の駆動信号変換モジュールの開発
H23,情報科学科,安部研,,,,,高低差情報を用いた電気自動車のナビゲーション方式
H23,情報科学科,安武研,,,,,2輪倒立振子ロボットにおけるマルチタスクを考慮したベースシステムの構築
H23,情報科学科,古井研,,,,,ソーシャルメディアにおける炎上と対策
H23,情報科学科,仲研,,,,,N人版繰り返し型囚人のジレンマの学習用Webページの試作
H23,情報科学科,澤田研,,,,,情報回路実験のための入力補助基板の開発
H23,情報科学科,安部研,,,,,対話型時間割作成システムの開発
H23,情報科学科,アプドゥハン研,,,,,Context-Awareによるスマートキャンパスナビゲーションシステムの作成‐サーバーの構築‐
H23,情報科学科,アプドゥハン研,,,,,Context-Awareによるスマートキャンパスナビゲーションシステムの作成‐ユーザーインターフェースの構築‐
H23,情報科学科,成研,,,,,サイト管理機能を有するWikiシステムの開発
H23,情報科学科,古井研,,,,,P2Pファイル共有ソフトによる違法行為の現状と考察
H23,情報科学科,石田健研,,,,,CUDAを用いた数値計算の試み
H23,情報科学科,米元研,,,,,ポスター上の動画再生機能の実現
H23,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおける交差点での不安全検出機能の開発
H23,情報科学科,米元研,,,,,デジタルコンテンツの提示位置・大きさの指定が可能なビジュアルタグの開発
H23,情報科学科,成研,,,,,イベント履歴の再利用による飲み会運営支援に関する研究開発
H23,情報科学科,合志研,,,,,C#版足型測定器の開発
H23,情報科学科,仲研,,,,,webmathematicaを使った健康支援ソフトの作成
H23,情報科学科,合志研,,,,,移動効率体験型ドライビングシミュレータにおける他車の走行の改善
H23,情報科学科,合志研,,,,,動作型ＫＭ式安全運転適性検査による飲酒時の認知・反応時間の計測
H23,情報科学科,合志研,,,,,足型測定器のための推奨靴検索サイトの開発
H23,情報科学科,澤田研,,,,,倒立振子FPGAロボット試作のためのデータ転送機構の実装
H23,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いた白線検出とその応用
H23,情報科学科,安武研,,,,,3次元案内図におけるIPアドレスを用いた現在地表示機能の作成
H23,情報科学科,宮崎研,,,,,ベンフォードの法則によるカラー画像のデータ解析
H23,情報科学科,合志研,,,,,自動車におけるペダル踏み間違い事故についての電動車いすを用いた原因調査
H23,情報科学科,宮崎研,,,,,最高桁の数字に関する法則　ベンフォードの法則について
H23,情報科学科,米元研,,,,,人物動作を用いたデジタルサイネージに関する研究
H23,情報科学科,田中研,,,,,太陽光発電システムにおける劣化検出情報表示端末の開発
H23,情報科学科,朝廣研,,,,,過去の修得単位数に基づき履修単位数の配分を助言するExcelシートの作成
H23,情報科学科,成研,,,,,家庭・地域情報共有支援システムの設計と開発
H23,情報科学科,合志研,,,,,表示機能を改良した移動効率体験型ドライビングシミュレータの開発
H23,情報科学科,安部研,,,,,家庭用エネルギー管理システムにおける最適機器運転計画
H23,情報科学科,稲永研,,,,,食料品の個人向ネット販売における簡易受発注サイトの開発
H23,情報科学科,合志研,,,,,足型測定器における推奨靴検索システムの開発
H23,情報科学科,仲研,,,,,CUDAによる感染症流行シミュレーションの高速化
H23,情報科学科,稲永研,,,,,泳力強化支援システムの開発
H23,情報科学科,合志研,,,,,安全運転管理教育システムASSISTにおけるjQueryを用いたWeb版管理ソフトウェアの開発
H23,情報科学科,成研,,,,,大学生活体験のためのソーシャルゲームの設計と開発
H23,情報科学科,石田健研,,,,,衛星通信検討のためのAMeDAS降雨データの解析
H23,情報科学科,田中研,,,,,移動体通信網を用いた電子マネーシステムの開発と実証実験
H23,情報科学科,米元研,,,,,カラーコードの生成と認識
H23,情報科学科,米元研,,,,,ゲームキャラクターの行動決定問題への遺伝的アルゴリズムの適用
H23,情報科学科,米元研,,,,,拡張現実感技術による実シーンへの電子情報の合成
H23,情報科学科,米元研,,,,,プロシージャル技術による３Dキャラクタの生成
H23,情報科学科,古井研,,,,,電子錠登録を用いたアクセス制御と期間別集計を行う消費電力情報サービス
H23,情報科学科,下川研,,,,,仮想計算機の動的広域分散配置システムの構築
H23,情報科学科,合志研,,,,,助言機能を持つ一時停止教育用ドライビングシミュレータの開発
H23,情報科学科,アプドゥハン研,,,,,Eucalyptusによるサブオントロジー抽出のためのプライベートクラウドの考察
H23,情報科学科,下川研,,,,,スマートフォン連携シフト管理支援システムの開発
H23,情報科学科,アプドゥハン研,,,,,サブオントロジー抽出のための再利用できる・柔軟なグリッド・ワークフローの試作
H23,情報科学科,仲研,,,,,記述式オンラインテストの採点プログラムの試作
H23,情報科学科,仲研,,,,,オンラインテストの選択式問題に対する自動採点機能の追加
H23,情報科学科,成研,,,,,検索エンジンを用いた文章作成支援システムの提案と開発
H23,情報科学科,宮崎研,,,,,人の流れの数学モデルとExcelによるコンピュータシミュレーション
H23,情報科学科,宮崎研,,,,,携帯電話事業者別契約台数の分析と今後の予測
H23,情報科学科,安武研,,,,,ネットワークシミュレータns-2におけるBluetooth通信モジュールの動作検証
H23,情報科学科,下川研,,,,,研究室サーバ提供用プライベートクラウドの構築
H23,情報科学科,一ノ瀬研,,,,,JAVA言語による音の伝達周波数特性測定プログラムの開発
H23,情報科学科,合志研,,,,,追突事故防止のための衝突体験型ドライビングシミュレータの開発
H23,情報科学科,稲永研,,,,,うつ病の未病及び予備軍の為のAndroidスマートフォン向けアプリケーションの開発
H23,情報科学科,宮崎研,,,,,公開鍵暗号Paillier暗号を利用した投票集計システムについて
H23,情報科学科,仲研,,,,,オンラインテストの採点Webページの追加
H23,情報科学科,田中研,,,,,劣化検出可能な太陽光発電システム実現に向けた太陽光パネルの特性評価
H23,情報科学科,石田健研,,,,,LaTeXとJavaを用いた数学教育支援ソフトウェアの改良---線形代数に関する問題---
H23,情報科学科,一ノ瀬研,,,,,音に関するソフトウェアの機能の調査
H23,情報科学科,稲永研,,,,,PC Info Square九産大店における貸与PC管理Webアプリケーションの開発
H23,情報科学科,下川研,,,,,Androidを用いた位置情報共有システムの開発
H23,情報科学科,安武研,,,,,組込みデバイスArduinoを対象としたC++言語による開発環境の構築
H23,情報科学科,一ノ瀬研,,,,,音読内容のモーラ数構成が遅延聴覚フィードバック条件下での発話に及ぼす影響
H23,情報科学科,稲永研,,,,,i-gateにおける簡易新着メール確認機能の開発
H23,情報科学科,下川研,,,,,プログラミング学習意欲向上を目的としたネットワーク対戦ゲームの開発
H23,情報科学科,下川研,,,,,研究室図書貸出返却システムの開発
H23,情報科学科,一ノ瀬研,,,,,平均顔は何人で同一人物に見えるか
H23,情報科学科,田中研,,,,,大規模太陽光発電システムにおける劣化検出システムの研究開発
H23,情報科学科,石田健研,,,,,FDTD法を利用した3次元電磁波伝搬シミュレータの作成
H23,情報科学科,田中研,,,,,自立型水中集魚灯の実現に向けた照度センサの評価
H23,情報科学科,宮崎研,,,,,重回帰分析を用いたプロ野球選手の評価について
H23,情報科学科,成研,,,,,スレッド・リサイクルに基づくスケジュール管理システムの開発
H23,情報科学科,下川研,,,,,VLAN運用管理支援システムの開発
H23,情報科学科,成研,,,,,フォーマット変換可能な電子ブックリソース共有支援システムの構築
H23,情報科学研究科,安武研,,,,◯,Bluetooth通信における高信頼マルチキャストの実現
H24,情報科学科,アプドゥハン研,,,,,グリーンITとクラウドの相乗効果に関する検討
H24,情報科学科,石田健研,,,,,CUDAを用いた数値計算―連立一次方程式の解法の計算時間比較―
H24,情報科学科,合志研,,,,,Unityを用いたプログラミング導入教材の開発
H24,情報科学科,宮崎研,,,,,モーフィングソフトを使った小中高生向け情報教育用教材の製作
H24,情報科学科,朝廣研,,,,,ランダムグラフにおける多重辺およびループの存在確率と次数に関する実験
H24,情報科学科,田中研,,,,,自律型LED水中集魚灯実現のためのLEDと照度センサーを用いた濁度測定方法の検討
H24,情報科学科,宮崎研,,,,,Androidスマートフォン向けアプリケーション開発環境の調査
H24,情報科学科,安部研,,,,,スマートタップを用いた家庭における消費電力削減方式
H24,情報科学科,朝廣研,,,,,ランダムグラフにおける多重辺と最長路と連結成分に関する実験
H24,情報科学科,石田健研,,,,,FDTD法を利用した2次元TE波とTM波の電磁波伝搬シミュレータの作成
H24,情報科学科,安武研,,,,,建物内部の三次元モデルにおける動画像を利用した壁面作成の検証
H24,情報科学科,安部研,,,,,電気自動車に対する消費電力を考慮した配送計画方式
H24,情報科学科,一ノ瀬研,,,,,朗読する文章のモーラ数構成の違いが遅延聴覚フィードバック条件下での発話に及ぼす影響
H24,情報科学科,田中研,,,,,NFCスマートフォンと紙幣識別機によるポータブル学内電子マネー入金端末の開発
H24,情報科学科,宮崎研,,,,,スマートフォンに存在する問題の指摘とその解決策について
H24,情報科学科,アプドゥハン研,,,,,ハイブリッドクラウド構築のためのパブリッククラウドサービス検索ツールの作成
H24,情報科学科,安部研,,,,,家庭における節電支援ツールの作成
H24,情報科学科,石田健研,,,,,LaTeXとJavaを用いた数学教育支援ソフトウェアの改良―初等関数の微分積分に関する問題―
H24,情報科学研究科,安武研,,,,◯,Futureオブジェクトを利用した非同期通信の設計と実装
H24,情報科学科,石田健研,,,,,CIP法を利用した2次元の電磁波伝搬シミュレーション―ユーザインターフェースの実現―
H24,情報科学科,澤田研,,,,,FPGAを用いたカメラモジュール制御課題の検討
H24,情報科学科,安部研,,,,,道路勾配情報を用いた電気自動車のナビゲーション方式
H24,情報科学科,朝廣研,,,,,進数変換の学習用シリアスゲームの製作
